"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Bannach (PA)";"23611";"26567";"30803";"35873";"36503";"32987";"34771";"33320";"32515";"30899";"35683";"42523";"53481"
"Barcarena (PA)";"1491809";"1572950";"1812554";"2190126";"2830086";"2806958";"3566140";"3647558";"3713041";"3483038";"3550393";"3656940";"3467361"
"Belém (PA)";"6464402";"6970829";"7780911";"8838679";"10348720";"11277478";"12520258";"13842632";"15286066";"16568144";"17998495";"19684502";"20557946"
"Belterra (PA)";"14896";"19857";"24217";"35768";"47292";"50187";"50729";"56678";"58787";"68467";"75356";"95962";"98666"
"Benevides (PA)";"53787";"125523";"132848";"144302";"163073";"218864";"325895";"482260";"517271";"524811";"599682";"621731";"754962"
"Bom Jesus do Tocantins (PA)";"23997";"30285";"35172";"40145";"43804";"47819";"50292";"55975";"59121";"63176";"81311";"87715";"98377"
"Bonito (PA)";"9679";"11730";"14662";"16715";"19203";"19973";"21397";"24217";"31886";"36136";"46306";"48412";"53114"
"Bragança (PA)";"117561";"141665";"164615";"189877";"216163";"232518";"273712";"316689";"347312";"383575";"453075";"513256";"580492"
"Brasil Novo (PA)";"28392";"33427";"42881";"49726";"54315";"59068";"63996";"72405";"78103";"78870";"89881";"104126";"119531"
"Brejo Grande do Araguaia (PA)";"13998";"17003";"17982";"22480";"27475";"29993";"30895";"31358";"33106";"32789";"37222";"38721";"44787"
"Breu Branco (PA)";"84669";"80627";"112932";"192659";"221832";"226545";"229192";"250088";"363681";"290986";"515961";"589657";"466338"
"Breves (PA)";"100202";"139311";"150870";"169533";"200915";"199034";"205299";"240486";"251900";"300841";"336210";"358605";"395425"
"Bujaru (PA)";"20611";"28143";"34165";"39050";"43821";"50568";"65151";"55330";"61181";"73437";"75416";"84758";"83572"
"Cachoeira do Piriá (PA)";"15979";"22221";"27184";"28980";"28907";"31781";"33897";"39357";"44234";"47304";"65418";"74370";"92360"
"Cachoeira do Arari (PA)";"25056";"27365";"29843";"32309";"34890";"37536";"44108";"47262";"53986";"62844";"71092";"83523";"97621"
"Cametá (PA)";"126234";"150910";"174381";"174052";"177817";"203040";"227266";"265058";"293474";"329242";"379606";"412734";"457759"
"Canaã dos Carajás (PA)";"27757";"32707";"43738";"104902";"464763";"622218";"704099";"666412";"1270884";"751265";"1563173";"2991157";"3118591"
"Capanema (PA)";"127879";"159532";"173981";"183374";"203281";"226504";"266793";"308540";"356724";"410622";"501913";"513709";"571598"
"Capitão Poço (PA)";"46969";"57151";"69615";"78703";"84743";"95848";"122692";"134628";"143058";"160461";"189151";"208918";"231712"
"Castanhal (PA)";"333011";"379973";"447071";"515235";"637916";"721943";"818715";"964881";"1113392";"1221001";"1450441";"1617750";"1959595"
