"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Tupanatinga (PE)";"24621";"27426";"30599";"35172";"40226";"48097";"54788";"64873";"77177";"87066";"110213";"120015";"124862"
"Tuparetama (PE)";"13827";"14881";"17752";"20038";"19728";"23036";"27548";"29796";"33655";"37045";"39656";"45207";"51332"
"Venturosa (PE)";"21545";"24141";"28961";"33531";"38570";"46378";"52687";"60143";"69518";"79873";"91145";"102114";"109213"
"Verdejante (PE)";"11789";"13733";"15309";"17104";"18618";"22304";"25680";"25053";"35095";"37606";"40854";"44187";"48985"
"Vertente do Lério (PE)";"17409";"18590";"19011";"18176";"22946";"23099";"27647";"29942";"33482";"37395";"63606";"63965";"52136"
"Vertentes (PE)";"20033";"22861";"26294";"30079";"33342";"38596";"45494";"49161";"57680";"66013";"95145";"105107";"106729"
"Vicência (PE)";"55915";"84601";"84520";"97618";"101494";"120907";"126088";"125251";"145735";"162028";"184386";"205965";"221756"
"Vitória de Santo Antão (PE)";"306252";"358613";"388778";"449392";"545975";"615932";"666889";"742325";"883603";"1050231";"1408677";"1663579";"1950780"
"Xexéu (PE)";"19478";"21860";"23146";"25336";"29523";"34444";"37482";"41852";"47630";"58247";"63899";"71109";"72011"
"Água Branca (AL)";"26242";"28576";"27577";"27708";"31505";"39366";"43029";"49068";"56162";"59310";"68127";"84034";"90968"
"Anadia (AL)";"35531";"37640";"40218";"43271";"43787";"50119";"56249";"57041";"63229";"72247";"74346";"83133";"87272"
"Arapiraca (AL)";"473630";"508520";"593029";"657961";"774796";"896794";"1064976";"1306685";"1389560";"1660256";"1878446";"2172489";"2416888"
"Atalaia (AL)";"80252";"83158";"98021";"125182";"150702";"153883";"164724";"168516";"199108";"209124";"228756";"292237";"277360"
"Barra de Santo Antônio (AL)";"20642";"21408";"22526";"25395";"31249";"36093";"41331";"43834";"50764";"53312";"61297";"67264";"65373"
"Barra de São Miguel (AL)";"18505";"18431";"21259";"26279";"29974";"32419";"34382";"38749";"42589";"47484";"51400";"59541";"63045"
"Batalha (AL)";"43174";"49585";"47897";"56085";"55532";"55731";"52331";"60992";"73608";"66315";"73335";"80313";"88662"
"Belém (AL)";"8715";"9091";"9449";"11011";"12347";"13473";"14993";"15513";"17713";"19574";"21031";"20814";"23433"
"Belo Monte (AL)";"14036";"17331";"17678";"19385";"19170";"19798";"20852";"35758";"25269";"30634";"34530";"34844";"36469"
"Boca da Mata (AL)";"70989";"76641";"90548";"102418";"111107";"119292";"126193";"91218";"129465";"152523";"163806";"212761";"213593"
"Branquinha (AL)";"19043";"23597";"19598";"21555";"23586";"28029";"31169";"33568";"37136";"42083";"44822";"49947";"51108"
"Cacimbinhas (AL)";"18913";"19630";"19090";"19159";"21726";"25497";"27365";"30525";"37232";"39320";"42979";"44925";"51433"
"Cajueiro (AL)";"31282";"33150";"38244";"50478";"49875";"58231";"63987";"52988";"74192";"77848";"85200";"104116";"121159"
"Campestre (AL)";"13267";"22403";"13714";"20363";"14344";"14860";"17557";"19121";"21998";"25809";"28221";"30769";"34953"
"Campo Alegre (AL)";"73263";"86921";"98921";"123149";"130895";"152575";"159796";"115118";"154838";"182531";"208365";"263185";"274317"
"Campo Grande (AL)";"13217";"14037";"13393";"15855";"18048";"20497";"22848";"25651";"29473";"32380";"33585";"35563";"40432"
"Canapi (AL)";"20116";"19949";"20091";"20409";"23111";"29460";"34085";"41088";"50828";"53410";"59418";"65147";"65130"
"Capela (AL)";"38580";"42118";"48197";"47149";"53734";"53958";"57924";"61314";"67886";"73138";"83309";"99222";"98712"
"Carneiros (AL)";"6704";"7732";"11944";"9795";"12586";"14209";"16109";"19860";"22636";"24813";"27392";"29413";"31885"
"Chã Preta (AL)";"11889";"16016";"14391";"14650";"16956";"19397";"21400";"23311";"25262";"26954";"31780";"32953";"37058"
"Coité do Nóia (AL)";"18171";"18893";"18142";"19880";"20040";"23459";"25139";"26647";"32064";"31413";"35821";"37770";"42674"
"Colônia Leopoldina (AL)";"42035";"46906";"47441";"65237";"75326";"83964";"69901";"71440";"99726";"106663";"111862";"134206";"117685"
"Coqueiro Seco (AL)";"7644";"8665";"8964";"9798";"11215";"12600";"14432";"15942";"17917";"19780";"22406";"24883";"26427"
"Coruripe (AL)";"233478";"268593";"318055";"438855";"421426";"435550";"461017";"423793";"450239";"463485";"541955";"826685";"729741"
"Craíbas (AL)";"32508";"28794";"35510";"35742";"39325";"43908";"48135";"57735";"71207";"73571";"82487";"83113";"93471"
"Delmiro Gouveia (AL)";"104688";"104020";"137999";"162944";"191031";"193630";"217186";"262652";"266457";"276148";"309911";"358781";"392709"
"Dois Riachos (AL)";"13562";"14503";"16586";"17357";"19949";"22991";"27499";"28719";"32881";"35119";"37647";"38020";"41140"
"Estrela de Alagoas (AL)";"17411";"19350";"21408";"23236";"26454";"31043";"34742";"37979";"43837";"48973";"56133";"64238";"64769"
"Feira Grande (AL)";"33065";"34737";"37173";"39613";"37971";"42538";"45063";"52891";"62718";"67087";"76811";"80043";"90718"
"Feliz Deserto (AL)";"7650";"8603";"15724";"16273";"19623";"24967";"31791";"36774";"41868";"34090";"36982";"48953";"41713"
"Flexeiras (AL)";"22275";"24961";"23549";"26650";"25744";"28715";"32425";"33785";"40783";"45637";"51245";"55127";"58762"
"Girau do Ponciano (AL)";"60902";"63737";"75720";"63268";"67730";"70685";"77540";"88016";"105982";"111745";"128579";"127204";"155736"
"Ibateguara (AL)";"20902";"23426";"25119";"24182";"28104";"33299";"36632";"44230";"52030";"56481";"60223";"64719";"71732"
"Igaci (AL)";"32439";"36044";"38986";"41677";"49474";"55896";"62672";"66964";"76483";"81479";"93067";"94753";"104019"
"Igreja Nova (AL)";"57340";"68188";"78142";"104938";"114091";"128851";"110193";"135998";"161832";"129773";"143564";"219963";"238738"
"Inhapi (AL)";"21599";"21371";"21925";"21887";"24774";"30726";"33182";"36074";"43321";"49076";"58417";"59680";"66235"
"Jacaré dos Homens (AL)";"16900";"19729";"17468";"15729";"17382";"18080";"24578";"26818";"30958";"30905";"31759";"33307";"35376"
"Jacuípe (AL)";"17562";"19070";"14216";"16377";"17244";"19330";"20276";"21068";"25058";"29351";"32726";"33725";"32344"
"Japaratinga (AL)";"16406";"19612";"15961";"16366";"17134";"18442";"21939";"24642";"27003";"30536";"33921";"35852";"34785"
"Jaramataia (AL)";"12701";"15570";"15690";"14916";"16616";"17995";"18234";"20059";"23866";"23573";"24986";"25254";"25595"
"Jequiá da Praia (AL)";"...";"46665";"58835";"83938";"93483";"96955";"102127";"59498";"97040";"108552";"117396";"160458";"157282"
"Joaquim Gomes (AL)";"31442";"35671";"37653";"46505";"42191";"41190";"47372";"51764";"58852";"67137";"78056";"80982";"92426"
"Jundiá (AL)";"11913";"11169";"10815";"11733";"11196";"13321";"16475";"17285";"19380";"21859";"25450";"27270";"24307"
"Junqueiro (AL)";"46399";"50792";"57678";"60693";"55499";"67568";"72582";"76815";"90146";"98238";"110696";"121841";"132832"
"Lagoa da Canoa (AL)";"29442";"30098";"38832";"34328";"37289";"39930";"40502";"46831";"56706";"60536";"68611";"67628";"74720"
"Limoeiro de Anadia (AL)";"27673";"29602";"32348";"37130";"42172";"48320";"52697";"56241";"64635";"74286";"89279";"99274";"101433"
"Maceió (AL)";"3277988";"3529556";"4304935";"4886010";"5851465";"6319445";"7267950";"8510435";"9125210";"10257022";"12098885";"13733064";"13694808"
"Major Isidoro (AL)";"28875";"31204";"33745";"34572";"40192";"47594";"50461";"56111";"65330";"74024";"82089";"82815";"97191"
"Maragogi (AL)";"41334";"46275";"43666";"53767";"64641";"73361";"81528";"84990";"101151";"115214";"129616";"146891";"149928"
"Maravilha (AL)";"15321";"16039";"17989";"18409";"21017";"24847";"25615";"28040";"31894";"33905";"38280";"41408";"45132"
"Marechal Deodoro (AL)";"276569";"254144";"307289";"428646";"543116";"587370";"654297";"742664";"740840";"620360";"761101";"911190";"1122913"
"Maribondo (AL)";"21086";"21733";"25143";"29519";"28732";"34394";"38166";"42989";"48758";"55084";"60973";"66190";"71545"
"Mar Vermelho (AL)";"5796";"6504";"6971";"7289";"8166";"9830";"10162";"11551";"13419";"15075";"16056";"15927";"16903"
"Mata Grande (AL)";"31732";"32598";"33602";"33481";"36073";"47805";"54427";"57453";"66468";"70763";"78124";"84339";"88372"
"Matriz de Camaragibe (AL)";"52290";"57398";"55644";"70816";"71384";"76229";"79962";"85996";"96273";"102211";"113237";"141624";"156616"
"Messias (AL)";"20314";"23575";"23469";"25700";"31513";"35191";"42012";"44659";"51966";"62181";"68353";"80503";"76922"
"Minador do Negrão (AL)";"10034";"11061";"10761";"11922";"13141";"14360";"15886";"18393";"21486";"22707";"24365";"25137";"26723"
"Monteirópolis (AL)";"8436";"10057";"11691";"11287";"12509";"15417";"17432";"19294";"22495";"23013";"25593";"28565";"28313"
"Murici (AL)";"40867";"44681";"44193";"53437";"58272";"66497";"75122";"85251";"104321";"109135";"123037";"136759";"146426"
"Novo Lino (AL)";"15908";"19668";"20745";"22771";"23739";"27120";"30119";"34821";"41294";"47068";"56062";"62848";"65128"
"Olho d'Água das Flores (AL)";"50630";"55871";"73900";"74164";"88573";"91735";"106026";"125485";"76209";"70473";"86923";"95770";"107392"
"Olho d'Água do Casado (AL)";"11438";"10890";"11481";"11671";"13323";"17063";"18936";"22219";"25305";"27788";"33641";"35206";"36934"
"Olho d'Água Grande (AL)";"6585";"7621";"7852";"8637";"9707";"11152";"11923";"13650";"15280";"16468";"19485";"19096";"21256"
"Olivença (AL)";"10493";"12042";"13517";"13891";"17225";"19867";"22888";"26311";"31315";"33453";"40004";"44363";"47228"
"Ouro Branco (AL)";"10608";"12692";"12722";"14419";"16977";"19860";"22667";"28438";"30519";"32755";"36012";"38689";"41223"
"Palestina (AL)";"5616";"6553";"7323";"7558";"8574";"10364";"11263";"12438";"14551";"15486";"17130";"17265";"19690"
"Palmeira dos Índios (AL)";"153331";"167064";"191052";"191598";"223338";"239958";"263789";"307711";"336304";"358734";"414349";"465129";"516042"
"Pão de Açúcar (AL)";"35380";"39456";"46216";"43358";"49304";"60395";"66088";"68704";"78200";"85410";"124300";"127925";"133356"
"Pariconha (AL)";"15260";"16162";"13737";"15267";"16425";"22402";"24280";"25633";"30475";"32553";"34386";"36863";"37472"
"Paripueira (AL)";"17175";"16999";"20309";"20544";"25204";"29260";"32229";"33617";"38239";"44012";"55766";"62488";"59400"
"Passo de Camaragibe (AL)";"30293";"32369";"29511";"37164";"38736";"41377";"44704";"46997";"52353";"59842";"68923";"74478";"72273"
"Paulo Jacinto (AL)";"11868";"12561";"13230";"13882";"14914";"17175";"18354";"20132";"23435";"24432";"27036";"28432";"31374"
"Penedo (AL)";"116583";"130279";"143169";"170942";"200336";"233772";"228203";"250138";"277661";"313498";"351296";"395733";"433241"
"Piaçabuçu (AL)";"25684";"28470";"30027";"33376";"39386";"44342";"50715";"54982";"57652";"66814";"77910";"83717";"84668"
"Pilar (AL)";"59740";"66247";"96479";"104888";"131003";"157506";"181445";"201964";"211240";"174180";"204367";"250114";"314974"
"Pindoba (AL)";"5808";"5067";"5679";"5886";"7093";"7926";"9842";"11095";"12516";"14857";"15608";"16749";"17042"
"Piranhas (AL)";"25200";"24914";"30228";"32600";"37660";"46309";"50606";"57810";"65293";"73448";"79908";"87966";"92544"
"Poço das Trincheiras (AL)";"13358";"16203";"16268";"17378";"19711";"23427";"24545";"29062";"33759";"36345";"43333";"47816";"49644"
"Porto Calvo (AL)";"62962";"63834";"57907";"78988";"93850";"98642";"80085";"84041";"116537";"131065";"148778";"173887";"200391"
"Porto de Pedras (AL)";"20357";"21401";"17229";"21273";"21526";"23082";"26009";"28343";"32976";"37248";"37316";"40479";"39056"
"Porto Real do Colégio (AL)";"27828";"31587";"29451";"28767";"34698";"38001";"41468";"45168";"53711";"59957";"69214";"76264";"81146"
"Quebrangulo (AL)";"16135";"17166";"18342";"20351";"22241";"27355";"30377";"34315";"40707";"43238";"56364";"58268";"64056"
"Rio Largo (AL)";"189463";"230451";"248360";"211950";"239433";"304130";"263472";"287296";"333729";"364414";"437912";"526870";"603644"
"Roteiro (AL)";"14668";"16494";"18246";"20317";"31719";"32012";"37220";"37185";"36613";"38820";"41716";"49688";"50659"
"Santa Luzia do Norte (AL)";"35544";"48208";"50839";"61392";"70069";"49179";"54075";"69649";"69493";"53498";"62217";"77492";"46632"
"Santana do Ipanema (AL)";"62439";"68402";"78957";"88899";"126957";"122450";"139599";"160341";"184763";"194071";"219199";"237903";"258177"
"Santana do Mundaú (AL)";"61905";"80404";"76000";"27549";"26846";"37861";"36326";"39199";"44931";"52181";"54473";"60380";"76745"
"São Brás (AL)";"10002";"10900";"12271";"13019";"15174";"18510";"21637";"21984";"24291";"27586";"52504";"55128";"56947"
"São José da Laje (AL)";"55319";"67301";"65263";"94132";"92450";"112418";"105767";"119546";"127845";"147690";"159668";"190238";"190901"
"São José da Tapera (AL)";"28098";"37437";"32526";"36299";"41554";"49626";"57865";"67167";"78205";"85238";"97636";"114505";"119658"
"São Luís do Quitunde (AL)";"120185";"114043";"117545";"137228";"162895";"155454";"159149";"187862";"182781";"179791";"219394";"299711";"305825"
"São Miguel dos Campos (AL)";"266715";"290461";"326138";"422479";"409314";"448214";"503690";"545333";"589436";"524310";"609404";"863380";"884362"
"São Miguel dos Milagres (AL)";"10244";"10843";"10326";"11871";"15493";"17573";"21480";"23040";"26367";"29822";"33055";"36033";"37740"
"São Sebastião (AL)";"46515";"55056";"54526";"57590";"64533";"79063";"86018";"97183";"113151";"123158";"137442";"165770";"162926"
"Satuba (AL)";"15201";"17556";"23581";"31257";"32177";"36569";"44869";"51843";"54672";"56132";"62409";"86710";"71534"
"Senador Rui Palmeira (AL)";"10219";"11614";"13726";"15632";"18257";"21838";"24052";"27605";"31749";"35279";"39894";"43717";"45224"
"Tanque d'Arca (AL)";"8286";"9035";"9200";"10261";"11773";"12891";"14254";"15030";"17355";"18510";"22895";"24875";"25003"
"Taquarana (AL)";"22591";"27076";"27730";"35888";"35997";"41756";"43294";"50144";"63366";"67537";"73902";"78914";"90396"
"Teotônio Vilela (AL)";"54847";"65265";"84459";"102326";"116950";"134538";"145489";"123634";"162509";"187145";"214585";"246472";"263853"
"Traipu (AL)";"31285";"34881";"37934";"36526";"39576";"44574";"48382";"53118";"63322";"68585";"77670";"78892";"87382"
"União dos Palmares (AL)";"133435";"145485";"166522";"199548";"200546";"218052";"244244";"278586";"338625";"401097";"378141";"484169";"535734"
"Viçosa (AL)";"38811";"42580";"47055";"54610";"57515";"64572";"71939";"76008";"86578";"95712";"102739";"119099";"127419"
"Amparo de São Francisco (SE)";"4058";"4729";"5509";"6638";"7630";"8910";"10661";"10908";"12403";"12819";"14878";"16740";"18469"
"Aquidabã (SE)";"33777";"38564";"44256";"54988";"62806";"66806";"76335";"86428";"99545";"104242";"115169";"124537";"142671"
"Aracaju (SE)";"2834391";"3214083";"3719788";"3903769";"4519181";"5197568";"5633122";"6268972";"6759420";"7104252";"8748078";"9221547";"9813852"
"Arauá (SE)";"19875";"24600";"25657";"34557";"34321";"41158";"48261";"49608";"56542";"66835";"59410";"70845";"70589"
"Areia Branca (SE)";"29445";"33550";"42680";"53324";"53621";"64522";"70023";"70983";"81976";"88716";"93358";"100845";"130048"
"Barra dos Coqueiros (SE)";"71415";"91521";"107028";"121771";"137819";"180831";"215287";"195632";"205946";"168699";"246278";"320396";"333515"
"Boquim (SE)";"56256";"59660";"65527";"74426";"81668";"96111";"115119";"121870";"132724";"140938";"167933";"178491";"294652"
"Brejo Grande (SE)";"13384";"17747";"20519";"25095";"28333";"28427";"34130";"36253";"41064";"40003";"45141";"53022";"57111"
"Campo do Brito (SE)";"33603";"34376";"39445";"47519";"49390";"54055";"60265";"65862";"75134";"83451";"100541";"105993";"116939"
"Canhoba (SE)";"6920";"8422";"9157";"10628";"12506";"13862";"16448";"16845";"19960";"21748";"24067";"27825";"30209"
"Canindé de São Francisco (SE)";"77788";"565031";"745846";"933625";"1052424";"885008";"782140";"892020";"1126089";"907921";"1326837";"1184115";"1399831"
"Capela (SE)";"50912";"58875";"64467";"74812";"83571";"93860";"116688";"131936";"379879";"373383";"384233";"298506";"267146"
"Carira (SE)";"31513";"35997";"43295";"48157";"54687";"58625";"69489";"80751";"152413";"135070";"196470";"179786";"147503"
"Carmópolis (SE)";"37645";"75137";"97444";"137505";"157588";"207892";"293480";"334436";"398268";"283920";"399983";"543266";"620407"
"Cedro de São João (SE)";"9230";"11993";"17129";"14506";"16473";"18055";"20031";"22782";"25499";"26544";"34311";"32144";"35243"
"Cristinápolis (SE)";"24809";"28189";"29941";"40378";"41974";"49970";"57029";"60340";"67550";"81685";"97035";"94539";"109120"
"Cumbe (SE)";"6168";"7141";"8560";"10585";"11626";"12681";"15050";"16637";"19796";"21623";"24010";"26311";"29636"
"Divina Pastora (SE)";"14385";"24165";"31540";"47963";"60265";"93291";"126179";"110992";"146017";"86633";"116849";"171733";"211624"
"Estância (SE)";"491563";"494098";"591707";"669808";"620207";"624245";"749290";"846863";"820747";"779692";"1029710";"1132659";"1303713"
"Feira Nova (SE)";"9106";"10863";"13035";"15783";"18098";"20399";"23843";"26770";"30957";"32213";"35111";"37334";"42331"
"Frei Paulo (SE)";"52560";"58418";"68461";"82813";"88011";"92997";"132487";"155437";"162863";"168475";"219513";"216382";"194722"
"Gararu (SE)";"19032";"21164";"24686";"29029";"32343";"36829";"44359";"47135";"58656";"63179";"70932";"74594";"80743"
"General Maynard (SE)";"4792";"5660";"5850";"7438";"9140";"9651";"11489";"12967";"15037";"13869";"16590";"18695";"19125"
"Gracho Cardoso (SE)";"9685";"10524";"12424";"15226";"17210";"18150";"21837";"24308";"29665";"31642";"35163";"37750";"41018"
"Ilha das Flores (SE)";"13028";"16488";"21134";"21553";"25119";"25695";"31248";"32932";"38400";"38203";"41648";"46682";"47603"
"Indiaroba (SE)";"21866";"23137";"29130";"37628";"40600";"44722";"56542";"63281";"75772";"86215";"90773";"93072";"99513"
"Itabaiana (SE)";"220595";"254783";"291689";"333712";"373256";"423090";"490715";"559582";"624526";"665200";"824842";"907006";"1005866"
"Itabaianinha (SE)";"60634";"69331";"77552";"93070";"101970";"118440";"136363";"145985";"161436";"181995";"209174";"219219";"250450"
"Itabi (SE)";"8419";"10707";"13320";"15595";"18298";"20660";"24198";"23789";"26294";"29650";"31379";"35870";"38640"
"Itaporanga d'Ajuda (SE)";"73080";"118978";"143765";"180162";"223113";"226228";"279687";"339552";"451561";"413798";"447952";"598453";"600483"
"Japaratuba (SE)";"61615";"102482";"116525";"146536";"181929";"253381";"330066";"313365";"383094";"261847";"344262";"492819";"619527"
